01001,17
01002,30
01003,11
01005,6
01007,15
01008,2
01009,1
01010,4
01011,2
01012,1
01013,24
01020,30
01022,3
01026,1
01027,18
01028,16
01029,1
01030,12
01031,2
01032,1
01033,7
01034,3
01035,6
01036,6
01037,1
01038,3
01039,2
01040,40
01050,3
01053,2
01054,2
01056,22
01057,9
01060,16
01062,12
01063,1
01066,1
01068,2
01069,9
01070,1
01071,2
01072,2
01073,6
01074,1
01075,18
01077,10
01079,1
01080,3
01081,2
01082,11
01083,3
01084,1
01085,42
01086,1
01088,1
01089,29
01092,2
01093,1
01094,1
01095,15
01096,3
01097,1
01098,2
01103,3
01104,23
01105,13
01106,17
01107,12
01108,27
01109,31
01118,15
01119,15
01128,3
01129,8
01151,9
01199,1
01201,47
01220,9
01222,1
01223,3
01224,1
01225,4
01226,7
01229,1
01230,9
01235,3
01236,2
01237,3
01238,7
01240,5
01242,1
01243,1
01244,1
01245,1
01247,17
01253,1
01254,1
01255,1
01256,1
01257,3
01258,1
01259,1
01260,1
01262,2
01264,1
01266,2
01267,8
01270,1
01301,18
01330,2
01331,14
01337,3
01338,1
01339,2
01340,2
01341,2
01342,2
01343,1
01344,2
01346,1
01347,1
01349,2
01350,1
01351,3
01354,2
01355,1
01360,4
01364,8
01366,2
01367,1
01368,2
01370,5
01373,5
01375,4
01376,6
01378,1
01379,1
01420,41
01430,7
01431,4
01432,8
01434,2
01436,4
01438,1
01440,21
01450,11
01451,5
01452,5
01453,41
01460,9
01462,11
01463,12
01464,8
01467,1
01468,5
01469,7
01473,8
01474,3
01475,11
01501,17
01503,3
01504,10
01505,5
01506,4
01507,13
01510,14
01515,3
01516,9
01518,3
01519,7
01520,14
01521,3
01522,4
01523,8
01524,7
01525,1
01527,14
01529,4
01531,1
01532,15
01534,6
01535,5
01536,7
01537,3
01540,12
01541,4
01542,3
01543,8
01545,36
01550,17
01560,5
01561,1
01562,12
01564,8
01566,7
01568,8
01569,14
01570,17
01571,12
01581,19
01583,8
01585,5
01588,10
01590,9
01602,23
01603,20
01604,35
01605,27
01606,20
01607,9
01608,4
01609,23
01610,24
01611,3
01612,5
01701,32
01702,38
01718,1
01719,5
01720,22
01721,17
01730,14
01731,2
01740,5
01741,5
01742,18
01745,1
01746,14
01747,6
01748,15
01749,20
01752,39
01754,11
01756,6
01757,29
01760,33
01770,5
01772,10
01773,6
01775,7
01776,18
01778,14
01801,39
01803,25
01810,34
01821,31
01824,25
01826,30
01827,4
01830,26
01832,23
01833,9
01834,7
01835,14
01840,5
01841,48
01843,25
01844,48
01845,29
01850,16
01851,31
01852,34
01854,28
01860,7
01862,11
01863,9
01864,15
01867,24
01876,29
01879,12
01880,25
01886,22
01887,23
01890,22
01901,2
01902,46
01904,19
01905,26
01906,27
01907,15
01908,4
01913,17
01915,40
01921,8
01922,4
01923,27
01929,4
01930,29
01937,1
01938,14
01940,13
01944,6
01945,20
01949,9
01950,18
01951,4
01952,9
01960,51
01966,7
01969,6
01970,42
01982,8
01983,7
01984,5
01985,5
02019,17
02021,22
02025,8
02026,25
02030,6
02032,5
02035,17
02038,32
02043,23
02045,11
02047,1
02048,24
02050,26
02052,13
02053,13
02054,8
02056,11
02061,11
02062,29
02066,18
02067,18
02071,2
02072,27
02081,19
02090,15
02093,11
02108,4
02109,4
02110,2
02111,8
02113,7
02114,12
02115,29
02116,21
02118,27
02119,26
02120,16
02121,26
02122,24
02124,48
02125,34
02126,26
02127,32
02128,41
02129,17
02130,36
02131,30
02132,26
02134,22
02135,43
02136,29
02138,37
02139,37
02140,18
02141,12
02142,4
02143,25
