al,4802740
ak,722718
az,6482505
ar,2937979
ca,37691912
co,5116796
ct,3580709
de,907135
dc,617996
fl,19057542
ga,9815210
hi,1374810
id,1584985
il,12869257
in,6516922
ia,3062309
ks,2871238
ky,4369356
la,4574836
me,1328188
md,5828289
ma,6587536
mi,9876187
mn,5344861
ms,2978512
mo,6010688
mt,998199
ne,1842641
nv,2723322
nh,1318194
nj,8821155
nm,2082224
ny,19465197
nc,9656401
nd,683932
oh,11544951
ok,3791508
or,3871859
pa,12742886
ri,1051302
sc,4679230
sd,824082
tn,6403353
tx,25674681
ut,2817222
vt,626431
va,8096604
wa,6830038
wv,1855364
wi,5711767
wy,568158
